neighbourhood,property_type,price,rooms,baths,area,age,garages,stratum,neighbourhood_fuzzy,property_type_Encoded,neighbourhood_Encoded
PAN DE AZUCAR,APARTAMENTO,430000000,2.0,2.0,74.0,1.0,1,4,PAN DE AZUCAR,1,393
ASOMADERA NO.2,APARTAMENTO,760000000,3.0,2.0,140.0,3.0,2,5,ASOMADERA NO.2,1,29
SAN DIEGO,CASA,9999999999,4.0,6.0,830.0,2.0,5,6,SAN DIEGO,2,452
ZUÑIGA,APARTAMENTO,720000000,4.0,4.0,137.0,3.0,2,5,ZUÑIGA,1,592
LOMA DEL INDIO,APARTAMENTO,785000000,3.0,2.0,78.0,0.0,2,6,LOMA DEL INDIO,1,320
SAN MARCOS,CASA,780000000,4.0,3.0,187.0,0.0,0,4,SAN MARCOS,2,463
CALLE LARGA,APARTAMENTO,235000000,2.0,2.0,62.0,2.0,0,3,CALLE LARGA,1,76
CENTRO ADMINISTRATIVO,APARTAMENTO,285000000,3.0,2.0,92.0,0.0,0,3,CENTRO,1,101
LAS LOMITAS,APARTAMENTO,315000000,2.0,2.0,62.0,0.0,1,4,LAS LOMITAS,1,296
SURAMERICA,APARTAMENTO,285000000,2.0,2.0,54.0,0.0,1,4,SURAMERICA,1,501
LA FLORESTA,CASA,500000000,10.0,3.0,235.0,1.0,0,4,LA FLORESTA,2,244
LOMA DEL ESMERALDAL,APARTAMENTO,880000000,3.0,4.0,153.0,1.0,2,5,EL ESMERALDAL,1,149
ZONA CENTRO,APARTAMENTO,2500000000,4.0,5.0,191.0,1.0,2,6,CENTRO,1,101
LOMA DE LOS BENEDICTINOS,APARTAMENTO,735000000,3.0,2.0,138.0,0.0,0,5,BENEDICTINOS,1,52
BELEN SAN BERNARDO,APARTAMENTO,295000000,3.0,2.0,75.0,1.0,0,4,BELEN,1,44
LOMA DEL BARRO,APARTAMENTO,386000000,3.0,2.0,68.0,1.0,1,4,LOMA DEL BARRO,1,317
CALASANZ,CASA,740000000,4.0,4.0,210.0,4.0,1,6,CALASANZ,2,72
MESA,APARTAMENTO,825000000,3.0,3.0,113.0,0.0,2,5,MESA,1,357
LOMA EL ATRAVESADO,CASA,2700000000,3.0,3.0,300.0,1.0,2,4,LOMA EL ATRAVESADO,2,322
SAN CRISTOBAL,APARTAMENTO,138000000,2.0,1.0,42.0,2.0,0,3,SAN CRISTOBAL,1,451
