neighbourhood_Encoded,neighbourhood
533,URBANIZACION EL CORTIJO
480,SANTA MARIA 1
69,CABUYAL
49,SAN BERNARDO
573,LA VERDE
344,ASOMADERA N1
9,ALFONSO LOPEZ
16,ALTO DE SAN JORGE
563,VEREDA SAN JOSE EL TRAPICHE
460,UB CORTIJO DE SAN JOSE
132,DUBLIN
0,12 DE OCTUBRE
246,LA FONTERA
377,BOYACA
519,TRANVERSAL SUPEIOR INTERCONTINENTAL
31,ASTORGA
507,TERRITORIO VERDE
158,EL PRADITO
553,URBANIZACION VILLA DEL ABURRA
477,SANTA INES
441,SABANETA CAÑAVERALEJO
166,TRAPICHE
460,SAN JOSE DE LA CIMA
437,ROBLEDO KENEDY
36,AVIGNON
130,DITARIES
134,EDIFICIO BARU
72,CALASANZ OCCIDENTE
206,JUAN XXIII
174,LA FRONTERA ENVIGADO
464,SAN MARTIN
364,MIRAVALLE
558,VALLES DEL SOL
11,ALICATE
349,MANGAZUL
207,JUNTAS
247,LA FRANCIA
140,VEREDA EL CHAGUALO
252,INMACULADA
380,NUEVA VILLA DE ABURRA
225,LA CALLEJA
97,URBANIZACION CATALUÑA
460,CATTLEYA  LOMA SAN JOSE
209,LA 80
44,BELEN NOROCCIDENTE
374,NIQUIA CIUDADELA DEL NORTE
197,GUAYABAL SANTA FE
342,LUNA VERDE
371,MOSCU NO. 1
129,ITAGUI SECTOR DITAIRES 
304,URBANIZACION LISBOA
300,VIA LAS PALMAS
495,BALCONES DE SEVILLA
261,PABLO ESCOBAR LA MILAGROSA
174,ENVIGADO BARRIO MESA
174,ENVIGADO LA SEBASTIANA
416,POPULAR 1
441,SABANETA PLAYAS DE MARIA
437,OCCIDENTE ROBLEDO
178,ALTO DEL ESCOBERO
44,BELEN EL NOGAL LOS ALMENDROS
591,ZUÑGA
530,URBANIZACION BUCAROS 1
560,RIONEGRO
335,ORIENTE ANTIOQUEÑO SECTOR LOS COLEGIOS
197,GUAYABAL CRISTO REY
592,ZUÑIGA ENVIGADO
298,LAS NARANJAS
348,MALTA
289,SECTOR LAS CHIMENEAS
339,LOS MANGOS
399,LA SABANA
19,SUR AMERICA
91,CARPINELO
197,GUAYABALIA
395,PARQUE UVA
447,SAN ANTONIO DE PEREIRA
430,QUINTAS DE SAUSALITOS
462,POBLADO SAN LUCAS
330,QUINTAS DE LOS ALMENDROS
184,FACULTAD DE MINAS
341,LOS OLIVARES
510,TIERRA GRATA
494,SENORIAL
189,FLORESTA ALCAZARES
240,LA SEPTIMA LA ESTRELLA
122,CONQUISTADORES OCCIDENTE
354,SABANETA MARIA AUXILIADORA
461,SAN JUAN BAUTISTA
356,SANTA ELENA MEDELLIN
450,SAN BERNANDO
