neighbourhood,latitude,longitude,property_type,price,rooms,baths,area,administration_price,age,garages,stratum
SURAMERICA,6.1611422,-75.6310878,Apartamento,430000000,2,2,65.0,0.0,1.0,1,4
las lomitas,6.146133799999999,-75.6058516,Apartamento,370000000,2,2,60.0,180000.0,1.0,1,3
Calasanz,6.260191,-75.5977158,Apartamento,515000000,3,3,126.0,170000.0,4.0,1,5
La mota,6.2082967,-75.5881008,Apartamento,375000000,3,2,72.0,279300.0,4.0,1,4
Urbanizacion nueva andalucia,6.253300800000001,-75.6181379,Apartamento,160000000,2,1,43.0,35000.0,2.0,,3
Altos del Poblado,6.184971,-75.5716079,Apartamento,386000000,3,2,96.0,642000.0,3.0,1,5
Escobero,6.155859200000001,-75.57562229999999,Apartamento,960000000,3,3,128.0,560000.0,1.0,2,6
Las Lomitas,6.1504856,-75.61687859999999,Apartamento,380000000,3,2,83.0,0.0,0.0,2,4
Santa Mónica,6.2490099,-75.617058,Apartamento,340000000,3,3,91.0,170000.0,,1,4
Las Palmas,6.167286499999999,-75.5836963,Apartamento,690000000,1,2,75.0,0.0,,,6
Vereda san jose,6.1339488,-75.61905279999999,Apartamento,250000000,,2,57.0,130000.0,,,2
Villa Nueva,6.2476376,-75.56581530000001,Apartamento,180000000,2,1,47.0,117000.0,3.0,1,4
Centro,6.2558254,-75.5657432,Apartamento,230000000,3,2,65.0,0.0,,,4
Las Palmas,6.2476376,-75.56581530000001,Apartamento,215000000,3,1,110.0,0.0,4.0,,3
Zona centro,6.1770627,-75.5871378,Casa,1200000000,6,5,213.0,437000.0,3.0,2,5
calazans,6.2688386,-75.5974197,Apartamento,335000000,3,2,71.0,0.0,,,5
Las lomas no.1,6.2118693,-75.56015920000002,Apartamento,1600000000,2,3,165.0,800000.0,1.0,2,6
Las brisas,6.2476376,-75.56581530000001,Apartamento,225000000,3,2,72.0,0.0,1.0,,3
Buenos Aires,6.2341843,-75.5495187,Apartamento,520000000,4,2,130.0,0.0,3.0,,3
Boston,6.2460208,-75.55482429999999,Casa,280000000,3,1,90.0,0.0,,2,4
LOMA DEL ESCOBERO,6.164697200000001,-75.5698841,Apartamento,610000000,2,2,81.0,325000.0,1.0,2,5
El carmelo,6.1496232,-75.60924399999999,Apartamento,650000000,3,2,107.0,400000.0,1.0,2,5
Loma el atravesado,6.1721965,-75.56700320000002,Casa,1400000000,3,4,183.0,1000000.0,2.0,2,6
Rodeo Alto,6.201839199999999,-75.6021445,Apartamento,263000000,3,2,58.0,198000.0,1.0,1,3
loma de las Brujas,6.1572705,-75.5735983,Casa,750000000,5,3,130.0,416000.0,3.0,1,5
LOMA DEL ESCOBERO,6.1664984,-75.5869259,Casa,1100000000,6,5,330.0,505000.0,3.0,2,4
La Ceja,6.0298998,-75.4305712,Casa,560000000,3,5,170.0,0.0,1.0,1,4
San jose,6.147309,-75.619379,Apartamento,595000000,2,2,66.0,0.0,0.0,1,5
loma de san jose,6.1439406,-75.6188949,Casa,1200000000,3,4,371.0,360000.0,,1,4
La mina,6.1500297,-75.5778849,Apartamento,230000000,2,1,74.0,0.0,1.0,,3
Calasanz,6.268420700000001,-75.5974841,Apartamento,580000000,3,1,88.0,350000.0,1.0,1,4
Las Palmas,6.154057099999999,-75.5324606,Casa,2600000000,3,4,230.0,600000.0,1.0,10,5
Sabaneta real,6.1524109,-75.6052821,Apartamento,360000000,2,2,76.0,170000.0,0.0,1,4
Prados de sabaneta,6.1469533,-75.6228148,Casa,540000000,4,2,117.0,0.0,1.0,,4
SECTOR PARQUE,6.1554357,-75.642641,Apartamento,290000000,3,2,65.0,250000.0,1.0,1,3
San marcos,6.1747305,-75.5871124,Apartamento,445000000,3,2,105.0,75000.0,2.0,1,4
Robledo,6.2699741,-75.5902313,Apartamento,548000000,3,2,90.0,292901.0,1.0,1,5
Prado,6.2580589,-75.5625587,Casa,740000000,5,3,290.0,0.0,4.0,1,4
LA Mina,6.149955599999999,-75.58211899999999,Apartamento,240000000,3,2,55.0,0.0,,,3
Manrique,6.266763600000001,-75.5565433,Casa,250000000,3,2,99.0,0.0,,,3
Castilla,6.291688199999999,-75.5727862,Casa,260000000,3,1,90.0,0.0,3.0,,3
Campo valdes no.1,6.2722362,-75.5616384,Casa,195000000,3,1,85.0,0.0,,,3
La Magnolia,6.1742133,-75.5790463,Casa,700000000,4,3,223.0,0.0,3.0,1,3
La mina,6.1537592,-75.5846467,Apartamento,360000000,3,2,115.0,160000.0,3.0,1,3
