neighbourhood,count
EL TABLAZO,1
LA ASUNCIÓN,1
BARRIO POPULAR,1
LA ESMERADA,1
VEGAS DE SAN JOSÉ,1
SUR OCCIDENTE,1
EL BRASIL,1
SANTA MARÍA DE LOS ÁNGELES POBLADO,1
ROBLEDO SANTA MARIA,1
URBANIZACION EL CARMELO II ETAPA,1
V SAN JOSE,1
CANTO DE LUNA,1
NORTE NAVARRA,1
VILLA NIZA,1
LAS COLINAS DE ASIS ET. A,1
LA CALLEJA ENVIGADO,1
GRAVETAL,1
ROBLEDO VILLA FLORA,1
AMERICA NIZA,1
COLA DEL ZORRO,1
ZONA 7,1
BELEN LA GLORIA,1
LA ESTRELLA LA ALDEA,1
BARRIOS UNIDOS,1
ENVIGADO ALTO LAS PALMAS,1
OCCIDENTE AMÉRICA,1
NUEVO,1
RIOGRANDE HABITAT,1
ENRE AMIGOS,1
SABANETA LA DOCTORA,1
TRANSVERSAL SUPERIOR,1
ENVIGADO LA PAZ LV,1
SENDERO BRUJO,1
SAN BERNANDO,1
